TissueType,ZT,Metabolite,Abundance,RelAbundance
Blood,20,Ala-bMCA_17791,2479,0.9006815968841284
Blood,20,Asn-CA_20646,2847,47.11236140989575
Blood,20,Gln-CA_21582,17604219,99.1280120654926
Blood,20,His-CA_22165,0,0
Blood,20,Arg-CA_23368,0,NA
Blood,20,Phe-CA_22812,6333,4.43254593175853
Blood,20,Tyr-CA_23803,0,0
Blood,20,Trp-CA_25121,3947,1.0928644011950348
Blood,20,Ornithine-CA_20652,0,NA
Blood,20,Arg-DCA_22370,0,NA
Blood,20,Ser-CA_18843,2673,0.4412230776341331
Blood,20,Val-CA_19625,31963,30.248800476970107
Blood,20,Thr-CA_19755,0,0
Blood,20,Ile-Leu-CA_20580,692107,82.09618952272953
Blood,20,Ile-Leu-gMCA_20581,0,0
Blood,20,Lys-CA_21586,5289,50.51575931232092
Blood,20,Lys-CA_21588,0,NA
Blood,20,Lys-bMCA_21589,0,NA
Blood,20,Lys-gMCA_21590,0,NA
Blood,20,Met-CA_21765,0,0
Blood,20,Met-gMCA_21769,0,0
Blood,20,Phe-bMCA_22813,0,0
Blood,20,Arg-bMCA_23369,0,NA
Blood,20,Tyr-bMCA_23804,0,0
Blood,20,Trp-bMCA_25122,0,0
Blood,24,Ala-CA_17790,3297,0.5190891614749878
Blood,24,Ala-bMCA_17791,2976,1.0812539057390749
Blood,24,Asn-CA_20646,3504,57.98444481217938
Blood,24,Gln-CA_21582,15499335,87.2755710939015
Blood,24,His-CA_22165,0,0
Blood,24,Arg-CA_23368,0,NA
Blood,24,Phe-CA_22812,4414,3.089413823272091
Blood,24,Tyr-CA_23803,0,0
Blood,24,Trp-CA_25121,5821,1.6117465617826954
Blood,24,Ornithine-CA_20652,0,NA
Blood,24,Arg-DCA_22370,0,NA
Blood,24,Ser-CA_18843,2698,0.44534974315633785
Blood,24,Val-CA_19625,79364,75.10764950268296
Blood,24,Thr-CA_19755,0,0
Blood,24,Ile-Leu-CA_20580,843044,100
Blood,24,Ile-Leu-gMCA_20581,0,0
Blood,24,Lys-CA_21586,5327,50.87870105062082
Blood,24,Lys-CA_21588,0,NA
Blood,24,Lys-bMCA_21589,0,NA
Blood,24,Lys-gMCA_21590,0,NA
Blood,24,Met-CA_21765,0,0
Blood,24,Met-gMCA_21769,0,0
Blood,24,Phe-bMCA_22813,0,0
